Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
Iker Bravo,Udinese,"CF, AMF",20,2028-06-30,752,Spain,right,182,3.95,3.83,65.63,4.67,28.21,0.35,0,1.2,1.73,1.8,0.24,0.09,1.32,27.27,18.182,0.6,20,2.75,47.83,8.14,35.29,1.32,1.08,0.36,14.24,1.08,19.63,81.1,3.59,56.67,18.31,83.66,0.72,66.67,15.33,0.02,0.36,0,0.12,1.56,69.23,0.96,50,0.12,0,0.48,2.39,65,,
Sergi Roberto,Como,"RDMF, RCMF, LDMF",33,2026-06-30,754,Spain,right,178,6.45,4.77,72.5,2.15,44.44,0.34,0,2.75,3.92,0.48,0,0.03,0.72,16.67,0,0.12,0,0.48,50,4.18,42.86,1.19,1.07,0.36,44.76,1.67,57.41,90.85,13.85,82.76,55.98,92.32,1.43,33.33,14.87,0.04,1.07,0.24,0.12,5.25,88.64,1.07,88.89,0.36,33.33,0.72,5.13,79.07,,
M. Kofod Andersen,Venezia,"LCMF, DMF, RCMF",25,2025-06-30,754,Denmark,right,170,6.33,4.66,66.67,2.03,47.06,0.28,0.24,2.98,3.55,1.07,0.12,0.03,0.84,28.57,14.286,0.6,20,0.72,66.67,2.39,35,1.07,0.84,0,24.71,0.48,33.78,83.04,10.03,61.9,29.96,87.65,3.34,50,18.02,0.08,1.19,0.24,0.12,5.25,65.91,0.48,75,0.36,66.67,0.36,5.01,50,,
L. Tchaouna,Lazio,"RAMF, CF, RW",21,2029-06-30,760,"Chad, France",left,180,5.33,4.38,62.16,4.38,18.92,0.17,0.12,2.49,3.64,3.79,0.12,0.28,2.61,36.36,4.545,2.49,33.33,3.67,51.61,7.46,33.33,3.79,2.25,0.24,21.67,0.83,27.24,74.35,4.38,70.27,23.57,78.89,1.54,61.54,17.87,0.03,0.71,0.24,0.24,1.3,72.73,2.37,50,0.36,33.33,0.95,3.2,51.85,,
J. Karlsson,Lecce,"LAMF, LW, LWF",26,2028-06-30,765,Sweden,right,179,3.88,5.06,55.81,1.65,21.43,0.17,0,0.94,1.34,3.29,0.24,0.23,1.76,40,13.333,2.12,50,3.18,48.15,8.12,31.88,1.53,1.65,0.12,19.18,0.47,24.82,75.83,4.71,57.5,22,79.68,0.71,33.33,16.13,0.06,0.71,0,0.35,1.41,33.33,2.12,72.22,0.12,0,0.59,2.94,68,,
S. Mbangula,Juventus,"LAMF, LW",21,2028-06-30,780,"Belgium, Congo DR",right,171,4.85,5.54,56.25,1.5,15.38,0.18,0,1.62,2.46,3.35,0.35,0.09,0.92,62.5,37.5,2.31,40,3.81,48.48,11.19,37.11,1.62,2.65,0.35,23.31,1.62,29.65,86.77,5.08,75,27,91.03,0.35,66.67,15.19,0.13,1.15,0.12,0.81,1.73,93.33,2.31,50,0.12,0,0.58,3.35,72.41,,
L. Ferguson,Bologna,"LDMF, RDMF, AMF",25,2028-06-30,780,Scotland,right,181,7.04,8.65,50.67,2.19,47.37,0,0.23,2.65,4.23,0.92,0.12,0.09,0.35,66.67,33.333,0.35,0,1.04,55.56,5.31,34.78,0.69,1.5,0,37.85,1.5,49.62,89.3,12.58,70.64,46.38,91.79,2.88,60,18.79,0.09,0.69,0.12,0.46,6.92,76.67,0.92,62.5,0.23,50,0.81,6.23,79.63,,
P. Mazzocchi,Napoli,"RWB, LB, RB",29,2027-06-30,787,Italy,right,183,6.52,6.18,55.56,1.03,44.44,0,0.23,3.09,4.22,2.52,0,0.07,0.34,33.33,0,1.83,25,2.52,77.27,5.83,45.1,1.26,2.06,0.57,20.24,0.57,28.82,80.95,8.69,68.42,24.93,88.53,2.06,38.89,15.82,0.07,0.69,0,0.34,2.06,72.22,2.06,55.56,0,0,0.69,5.15,57.78,,
K. Asllani,Internazionale,DMF,23,2028-06-30,799,"Albania, Italy",right,175,6.98,5.74,56.86,0.9,37.5,0.32,0.11,3.49,5.03,1.35,0,0.1,1.35,25,0,1.58,42.86,0.79,42.86,2.93,53.85,0.68,0.9,0.11,65.22,1.58,77.27,92.13,18.81,78.44,69.05,95.27,6.65,71.19,19.66,0.17,1.24,0,0.34,9.24,76.83,3.6,50,1.24,18.18,1.01,10.48,79.57,,
M. Vecino,Lazio,"AMF, DMF, LCMF",33,2025-06-30,801,"Uruguay, Italy",right,187,6.07,5.51,46.94,5.73,56.86,1.11,0.34,2.7,3.79,0.67,0.11,0.21,1.12,20,10,0.56,40,0.34,66.67,1.91,23.53,2.47,0.11,0.22,25.51,0.22,33.82,83.72,10,68.54,30.11,86.94,3.15,60.71,17.2,0.08,0.67,0.11,0.22,4.61,75.61,1.01,22.22,0.67,33.33,0.45,4.49,67.5,,
I. Touré,Udinese,LCB,21,2028-06-30,803,"France, Côte d'Ivoire",left,206,7.73,5.16,56.52,1.79,68.75,0.33,0.56,4.6,6.72,1.01,0.11,0.06,0.34,33.33,33.333,0.45,50,0.9,75,3.03,51.85,0.78,1.68,0.22,40.12,0.67,54.02,93.57,15.92,84.51,50.77,95.14,3.03,70.37,17.99,0,0.11,0.11,0.11,4.26,89.47,0.78,71.43,0.34,66.67,0.56,5.16,73.91,,
E. Elmas,Torino,"LAMF, CF, LWF",25,2028-06-30,806,North Macedonia,right,184,3.91,4.58,53.66,0.67,50,0,0.11,1.45,1.78,3.01,0.45,0.21,1.67,53.33,26.667,1,55.56,3.01,51.85,6.81,50.82,1.9,3.01,0.33,19.09,1.23,24.57,83.18,5.02,75.56,22.22,86.43,1.34,50,15.78,0.06,0.78,0,0.22,1.45,76.92,1.79,62.5,0.33,33.33,0.78,2.57,82.61,,
K. Urbański,Monza,"RCMF, LCMF",20,2026-06-30,809,Poland,right,178,6.34,6.23,44.64,4.12,35.14,1.04,0.33,2.78,3.73,1.11,0.11,0.1,1,22.22,11.111,0.44,50,1.78,37.5,8.12,30.14,1.45,1.45,0.22,28.59,0.78,39.16,90.06,9.46,84.71,36.49,90.55,2.22,90,17.76,0.08,0.67,0,0.33,4.56,92.68,1.33,83.33,0.44,100,0.89,4.12,86.49,,
R. Loftus-Cheek,Milan,"AMF, LDMF, CF",29,2027-06-30,812,"England, Guyana",right,191,4.1,3.55,53.13,2.55,65.22,0.76,0,1.66,2.27,2,0,0.1,0.78,28.57,0,1.11,40,2.22,55,7.09,56.25,2.33,2.22,0.78,25.38,2.22,31.37,91.17,6.32,89.47,29.82,93.31,0.44,75,17.04,0.13,0.67,0.11,0.11,3.33,93.33,1,55.56,0.11,100,0.67,2.66,91.67,,
G. Altare,Venezia,RCB,26,2026-06-30,814,Italy,right,190,11.61,7.74,60,4.53,58.54,0.75,1,6.3,7.15,0.55,0,0,0.11,0,0,0.66,50,0.33,66.67,1.22,27.27,0.33,0.66,0,24.66,0.33,35.16,78.93,15.7,66.9,29.3,84.15,5.31,54.17,19.85,0.02,0.11,0,0.11,4.98,57.78,1,11.11,0.55,40,0,7.3,59.09,,
L. Caldirola,Monza,"LCB, CB",34,2025-06-30,821,Italy,left,186,9.54,6.14,58.93,4.17,44.74,0.77,0.55,5.37,7.58,0.11,0,0.06,0.44,25,0,0.11,0,0,0,0.77,42.86,0.33,0.33,0,38.81,1.53,51.52,91.49,19.18,82.86,46.26,93.84,5.15,72.34,21.23,0,0,0,0,4.38,80,0.22,50,0.11,100,0.11,8.11,72.97,,
J. Ekhator,Genoa,"CF, LAMF",18,2029-06-30,828,"Italy, Nigeria",right,0,3.8,3.59,48.48,5.87,35.19,0,0.11,2.07,2.68,1.63,0.11,0.13,1.09,30,10,1.09,10,2.07,52.63,9.24,36.47,2.17,0.76,0.43,9.46,1.3,15.87,69.86,3.59,57.58,14.35,75.76,0.43,25,17.77,0.13,0.65,0.22,0.33,1.74,75,1.52,28.57,0.22,50,0.87,1.96,50,,
N. Zalewski,Internazionale,"LWB, LW",23,2026-06-30,829,"Italy, Poland",right,175,6.22,5.2,63.04,1.92,52.94,1.03,0.11,2.26,3.45,7.46,0,0.07,0.79,14.29,0,4.97,47.73,7.01,70.97,11.53,60.78,2.71,3.51,0.57,27.7,1.81,36.18,78.75,6.56,55.17,28.72,87.8,2.83,40,19.14,0.23,1.58,0.11,0.79,1.92,64.71,4.18,59.46,0.45,25,1.13,5.54,75.51,,
Renato Veiga,Juventus,"CB, LCB",21,2031-06-30,830,Portugal,left,190,9.43,5.86,77.78,2.71,60,0.72,0.76,4.34,5.77,0.43,0,0.09,0.65,50,0,0,0,0,0,0.33,0,0.87,1.73,0.11,32.53,0.11,46.19,89.2,14.53,73.13,41.42,93.98,4.77,47.73,21.69,0,0.11,0.11,0,5.2,70.83,0.54,40,0.33,33.33,0.33,6.29,74.14,,
N. Valentini,Hellas Verona,LCB,24,,830,"Argentina, Italy",left,187,10.63,7.27,64.18,5.31,77.55,0.25,0.43,5.75,6.57,0.11,0,0.05,0.33,0,0,0.43,0,0.11,100,0.65,50,0.65,0.43,0,21.14,0.22,37.08,73.1,22.55,65.38,26.89,83.87,9.76,46.67,24.79,0.01,0.22,0.22,0,9.11,55.95,1.63,13.33,0.76,28.57,0.11,12.58,74.14,,
C. Casadei,Torino,"LDMF, RCMF, AMF",22,2028-06-30,840,Italy,right,185,6.32,5.14,56.25,8.36,62.82,0.52,0.21,3,3.64,1.18,0.11,0.14,0.96,44.44,11.111,0.21,50,0.86,75,4.5,33.33,1.39,0.96,0.21,20.04,0.86,30.64,83.57,8.36,64.1,29.25,85.35,1.29,41.67,17.35,0.03,0.21,0.11,0.21,4.5,64.29,0.64,33.33,0.21,0,0.11,2.57,54.17,,
J. Schingtienne,Venezia,RCB,22,2029-06-30,844,"Belgium, Congo DR",right,188,10.45,8.74,67.07,2.13,25,0.14,0.75,4.48,5.7,0.43,0,0,0,0,0,0.11,0,0.64,66.67,2.99,32.14,0.43,0.32,0.11,17.81,0.11,31.03,88.66,12.05,81.42,29.64,91.01,1.28,41.67,17.55,0,0.11,0,0,2.88,77.78,0.21,50,0,0,0,3.73,68.57,,
A. Rebić,Lecce,"CF, LAMF",31,2025-06-30,844,Croatia,right,185,4.8,5.23,55.1,6.08,31.58,0.28,0.21,1.71,2.22,3.84,0.11,0.19,1.28,33.33,8.333,2.67,16,4.59,53.49,12.16,37.72,4.37,1.49,0.21,18.98,1.39,27.62,67.18,8,66.67,24.31,72.81,0.75,57.14,15.88,0.11,1.28,0.96,0.32,2.67,64,3.2,40,0.43,75,1.17,3.63,76.47,,
M. De Sciglio,Empoli,"RCB, RB, CB",32,2025-06-30,850,Italy,right,183,8.26,6.04,59.65,1.59,53.33,0.25,0.21,4.45,5.16,1.06,0.11,0.07,0.53,60,20,0.85,37.5,0.53,80,2.22,33.33,1.06,0.32,0.11,16.31,0.53,27.21,78.99,12.39,71.79,23.08,84.4,3.39,53.13,19.26,0.01,0.11,0,0.11,3.18,63.33,0.85,50,0,0,0.21,6.14,65.52,,
J. Ikoné,Como,"RAMF, RWF",26,2026-06-30,859,"France, Congo DR",left,175,4.92,4.92,63.83,1.15,18.18,0.33,0.1,1.57,2.49,3.56,0.21,0.27,2.2,47.62,9.524,0.84,25,4.82,45.65,12.78,32.79,4.71,2.83,0.31,18.23,1.36,22.95,81.74,5.55,71.7,21.27,84.73,0.94,66.67,15.15,0.02,0.21,0.1,0.1,1.47,92.86,1.26,75,0.21,50,1.26,2.93,78.57,,
J. Cuadrado,Atalanta,"RWB, LWB, RWF",36,2025-06-30,880,"Colombia, Italy",right,176,7.67,5.52,66.67,1.94,52.63,0.95,0.1,3.38,5.21,5.63,0,0.16,1.53,26.67,0,3.17,35.48,5.32,76.92,11.35,57.66,3.17,2.66,0.31,39.48,2.66,49.7,82.51,13.09,76.56,43.47,87.76,3.27,56.25,18.39,0.29,1.84,0,0.41,5.01,75.51,4.81,63.83,0.41,25,2.35,9.31,81.32,,
M. Caqueret,Como,"RCMF, LDMF, AMF",25,2027-06-30,880,France,right,174,6.85,7.16,58.57,0.72,42.86,0.3,0.1,2.45,3.65,2.15,0,0.01,0.41,25,0,1.02,50,2.56,52,6.85,41.79,1.23,1.33,0,31.81,0.61,43.77,86.45,15.44,84.77,40.91,88,1.84,72.22,16.31,0.1,0.82,0.2,0.61,6.75,93.94,2.25,68.18,0.51,80,1.02,8.49,86.75,,
O. Kossounou,Atalanta,"RCB, CB",24,2026-06-30,885,Côte d'Ivoire,right,191,10.68,7.53,79.73,2.24,45.45,0,0.31,4.68,6.63,0.61,0,0.06,0.61,66.67,0,0.41,0,0.81,25,3.76,29.73,1.12,0.92,0,36.41,0.51,50.24,87.25,18.81,76.76,47.08,90.28,2.75,48.15,18.43,0,0.1,0.1,0,7.63,78.67,0.71,42.86,0.1,0,0.2,7.22,74.65,,
L. Kelly,Juventus,"LCB, LB",26,2029-06-30,886,England,left,190,9.55,7.62,74.67,5.59,63.64,0,0.51,3.86,5.67,0.61,0,0.05,0.81,25,0,1.12,27.27,0.3,33.33,1.93,42.11,1.02,1.42,0.1,40.43,0.41,52.92,85.6,19.6,74.61,46.42,93.44,5.59,29.09,19.49,0.01,0.2,0,0.1,8.23,67.9,1.52,40,1.02,20,0.2,7.21,69.01,,
I. Ilić,Torino,LCMF,24,2027-06-30,887,Serbia,left,185,2.33,2.84,28.57,1.42,21.43,0,0,1.52,2.16,1.83,0.1,0.06,0.91,44.44,11.111,1.32,23.08,1.42,71.43,4.97,48.98,1.52,2.03,0.41,34.09,2.03,42.51,86.16,10.55,75.96,39.27,89.41,1.93,63.16,17.98,0.12,0.81,0.1,0.2,5.07,68,2.23,54.55,0.51,60,0.71,4.97,81.63,,
