Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %",,
T. Livramento,Newcastle United,"RB, LB",22,2028-06-30,2762,"England, Scotland",right,182,7.17,4.95,54.61,1.99,45.9,0.3,0.23,4.24,5.64,1.53,0,0.01,0.16,20,0,1.6,28.57,1.6,63.27,5.12,40.13,1.04,1.79,0.55,27.14,1.01,39.3,85.82,15.58,80.13,36.04,90.51,1.73,41.51,16.02,0.05,0.42,0.1,0.2,4.07,76.8,1.82,48.21,0.26,25,0.65,5.8,69.1,0,0
K. Mitoma,Brighton,"LAMF, LW",27,2027-06-30,2772,Japan,right,178,5.91,4.9,54.97,1.88,37.93,0.53,0.03,2.82,3.88,4.22,0.29,0.28,1.62,48,18,3.08,30.53,4.81,51.35,8.15,43.03,4.25,4.42,0.91,23.31,0.71,29.51,78.11,5.49,71.01,25.58,84.52,0.94,55.17,15.8,0.14,0.94,0.16,0.49,1.62,64,2.73,51.19,0.26,12.5,1.59,3.54,73.39,0,0
M. Damsgaard,Brentford,"AMF, LCMF, CF",24,2030-06-30,2775,Denmark,right,180,7.33,7.07,61.93,1.49,34.78,0.41,0.06,2.63,3.29,3.18,0.06,0.08,1.04,21.88,6.25,2.69,37.35,2.92,54.44,6.97,43.26,2.17,1.62,0.29,28.67,0.81,40.15,76.82,16.44,69.23,33.66,83.33,3.83,46.61,17.8,0.19,1.36,0.65,0.75,7.65,73.73,4.83,50.34,1.14,51.43,1.69,8.82,77.57,0,0
C. Wood,Nottingham Forest,CF,33,2027-06-30,2777,New Zealand,right,191,2.27,1.85,49.12,7.32,30.09,0.04,0.16,1.33,1.47,1.43,0.62,0.39,1.69,61.54,36.538,0.06,100,0.45,64.29,3.69,29.82,2.56,0.29,0.1,8.65,0.62,11.57,74.23,2.72,58.33,11.05,75.07,0.45,50,14.61,0.06,0.29,0.03,0.13,1.07,42.42,0.36,72.73,0.03,100,0.32,1.26,51.28,0,0
A. Mac Allister,Liverpool,LDMF,26,2028-06-30,2788,"Argentina, Italy",right,174,9.3,8.85,58.76,1.87,41.38,0.38,0.23,3.84,5.7,1.48,0.16,0.09,1.16,38.89,13.889,0.84,34.62,1.13,57.14,4.23,51.15,1.68,1.1,0.16,34.31,1.26,44.1,87.34,12.65,78.06,40.51,91,2.78,48.84,16.33,0.11,1,0.29,0.26,5.13,82.39,2.03,58.73,0.77,25,1.29,5.39,74.25,0,0
Y. Wissa,Brentford,CF,28,2026-06-30,2794,"France, Congo DR",right,176,3.12,2.54,50.63,2.35,46.58,0.36,0.16,1.55,1.94,2.22,0.52,0.41,2.25,48.57,22.857,1.03,25,1.51,51.06,6.12,41.05,3.8,1.29,0.42,13.08,1.48,15.94,78.18,3.32,70.87,14.01,82.99,1,58.06,16.27,0.04,0.48,0.19,0.29,1.77,78.18,0.74,43.48,0.23,42.86,0.58,1.93,63.33,0,0
J. Vardy,Leicester City,CF,38,2025-06-30,2799,England,right,179,2.41,2.41,52,3.7,41.74,0.19,0.13,1,1.18,1.48,0.23,0.32,1.51,48.94,14.894,0.64,25,0.84,69.23,2.93,45.05,2.99,0.58,0.1,7.33,0.64,9.74,76.24,1.41,50,9.07,79.79,0.1,33.33,15.87,0.11,0.51,0,0.42,0.64,70,0.45,71.43,0,0,0.55,0.55,70.59,0,0
J. Justin,Leicester City,RB,27,2026-06-30,2825,"England, St. Lucia",right,183,10.51,8.03,63.49,4.21,45.45,0.4,0.29,5.07,5.78,1.24,0.06,0.08,0.7,31.82,9.091,1.75,25.45,0.92,58.62,2.77,45.98,0.92,0.86,0.13,25.14,1.02,34.25,77.77,11.98,63.3,28.58,85.73,4.11,44.96,17.52,0.01,0.22,0.1,0.13,3.98,60,1.98,35.48,0.48,26.67,0.25,6.24,58.16,0,0
D. Rice,Arsenal,"LCMF, RCMF, DMF",26,2028-06-30,2826,"England, Republic of Ireland",right,185,5.41,3.79,57.98,1.88,45.76,0.71,0.35,2.74,4.08,1.56,0.06,0.12,1.31,24.39,4.878,1.24,38.46,1.31,53.66,4.11,36.43,2.2,2.48,0.54,31.69,0.48,42.68,89.93,10.99,83.48,38.73,93.34,2.71,64.71,17.1,0.26,1.62,0.1,0.35,5.48,81.98,2.1,63.64,0.25,62.5,1.15,4.62,82.76,0,0
L. Davis,Ipswich Town,LB,25,2028-06-30,2830,England,left,180,7.16,6.11,58.85,1.97,59.68,0.21,0.22,3.37,3.71,1.65,0.03,0.02,0.38,16.67,8.333,2.23,34.29,1.24,56.41,3.4,42.06,1.08,1.24,0.38,21.63,0.95,29,80.7,8.4,69.32,24.3,87.43,2.58,54.32,18.64,0.14,1.37,0.19,0.29,2.07,64.62,2.16,58.82,0.25,62.5,0.67,5.72,67.78,0,0
Mateus Fernandes,Southampton,"AMF, LW, LCMF",20,2029-06-30,2830,Portugal,right,178,7.66,6.65,62.2,0.83,38.46,0.54,0.22,3.08,3.77,2.48,0.06,0.15,1.11,40,5.714,1.3,24.39,2.39,66.67,8.08,45.28,1.4,2.23,0.83,24.55,1.69,34.6,84.01,8.33,73.28,30.91,87.96,2.39,65.33,17.4,0.07,0.73,0.25,0.1,3.88,78.69,1.94,52.46,0.29,33.33,0.89,4.67,64.63,0,0
Nélson Semedo,Wolverhampton Wanderers,"RWB, RB",31,2025-06-30,2843,"Portugal, Cape Verde Islands",right,177,8.42,7.85,56.05,2.28,34.72,0.2,0.35,3.86,4.85,2.25,0,0.03,0.44,35.71,0,1.96,38.71,2.09,62.12,5.03,48.43,0.76,1.68,0.47,23.84,0.85,32.07,81.84,10.07,69.18,27.13,88.33,3.07,50.52,17.8,0.06,0.51,0.13,0.32,3.61,70.18,1.87,55.93,0.16,20,0.41,5.48,71.1,0,0
F. Schär,Newcastle United,RCB,33,2026-06-30,2848,Switzerland,right,186,8.03,5.31,58.33,3.54,45.54,0.42,0.66,4.61,6.1,0.57,0.13,0.08,0.79,36,16,0.35,9.09,0.44,57.14,0.85,55.56,0.76,1.07,0.06,38.36,0.41,52.36,83.77,22.41,72.21,43.26,92.4,8.82,43.73,22.07,0.01,0.03,0.09,0.03,7.77,57.32,1.04,24.24,1.01,28.13,0.22,8.72,64.49,0,0
T. Harwood-Bellis,Southampton,"RCB, LCB",23,2028-06-30,2861,England,right,188,8.75,4.56,58.62,3.24,49.51,0.48,1.04,5.69,7.18,0.38,0.03,0.08,0.44,42.86,7.143,0.44,14.29,0.16,80,0.72,60.87,0.82,1.26,0.03,45.87,0.44,58.32,90.02,21.96,81.81,52.16,93.73,5.76,61.75,19.65,0.01,0.16,0.09,0.03,7.83,80.72,0.79,40,0.41,46.15,0.25,9.44,74.33,0,0
N. Mazraoui,Manchester United,"RCB, RWB, RB",27,2028-06-30,2869,"Netherlands, Morocco",right,183,9.82,8.31,66.42,2.42,51.95,0.66,0.22,3.8,4.98,1.44,0,0.02,0.38,25,0,0.75,29.17,1.57,68,3.76,52.5,0.78,1.19,0.09,32.66,0.66,45.71,86.27,18.29,77.87,41.31,90.05,3.64,55.17,16.49,0.03,0.38,0.16,0.22,5.49,78.86,1.04,60.61,0.41,38.46,0.38,6.49,60.39,0,0
E. Fernández,Chelsea,"LDMF, RDMF",24,2032-06-30,2872,Argentina,right,178,6.58,5.89,55.32,1.54,24.49,0.53,0.19,2.98,4.58,2.13,0.16,0.16,1.5,37.5,10.417,1.85,38.98,1.28,53.66,5.42,43.35,2.13,1.66,0.28,38.89,1.44,49.61,83.58,14.73,72.13,42.74,89.3,5.11,50.31,18.92,0.17,1.44,0.38,0.72,8.43,67.29,3.17,52.48,1.03,30.3,1.32,7.46,78.99,0,0
J. Bowen,West Ham United,"CF, RW, RAMF",28,2030-06-30,2873,"England, Wales",left,175,4.32,3.73,59.66,2.29,13.7,0.23,0.13,1.91,2.3,4.01,0.28,0.23,2.19,42.86,12.857,2.66,28.24,4.48,51.05,11.37,40.5,4.32,3.38,0.63,15.79,1.47,20.14,76.36,4.6,68.03,16.85,84.57,0.69,63.64,17.32,0.21,1.28,0.31,0.6,1.53,79.59,2.29,49.32,0.41,7.69,1.38,3.01,77.08,0,0
E. Konsa,Aston Villa,"RCB, RB",27,2028-06-30,2889,"England, Congo DR",right,183,5.36,3.58,64.35,1.93,53.23,0.04,0.22,3.02,3.93,0.47,0.03,0.02,0.16,60,20,0.31,20,0.4,69.23,2.55,57.32,0.56,0.62,0.06,32.74,1.21,41.62,93.64,13.96,87.28,39.63,95.83,1.68,55.56,17.59,0.01,0.06,0.06,0.03,3.49,83.93,0.31,20,0.28,44.44,0.09,4.08,66.41,0,0
O. Aina,Nottingham Forest,RB,28,2025-06-30,2910,"England, Nigeria",right,184,8.47,5.91,51.31,1.08,51.43,0.47,0.15,5.01,5.42,2.04,0.06,0.02,0.25,25,25,1.64,33.96,2.32,61.33,5.69,45.11,0.49,1.73,0.59,19.24,1.02,29.54,81.26,12.4,75.81,25.08,87.05,2.81,57.14,17.35,0.04,0.37,0.03,0.25,3.93,72.44,1.61,48.08,0.28,22.22,0.34,5.88,68.42,0,0
J. van Hecke,Brighton,RCB,24,2027-06-30,2930,Netherlands,right,189,7.06,3.72,66.12,4.58,57.72,0.68,0.58,4.12,5.72,0.58,0.03,0.05,0.46,33.33,6.667,0.43,71.43,0.12,75,0.86,57.14,0.74,2.24,0.06,43.71,0.68,57.23,89.91,22.98,81.42,49.88,93.84,6.94,62.83,20.82,0.06,0.43,0.12,0.18,9.89,76.4,1.11,58.33,0.86,42.86,0.46,11.15,82.92,0,0
João Gomes,Wolverhampton Wanderers,"LCMF, RCMF",24,2030-06-30,2930,Brazil,right,176,9.15,9.52,57.74,1.14,32.43,0.55,0.12,3.23,4.11,1.47,0.09,0.08,1.01,21.21,9.091,1.01,30.3,1.54,54,7.77,42.69,1.2,1.63,0.18,29.03,1.14,42.36,86.87,12.32,74.81,38.92,90.77,2.61,49.41,15.6,0.02,0.37,0.31,0.25,5.16,75.6,1.9,45.16,0.55,44.44,0.71,4.67,69.74,0,0
Marc Cucurella,Chelsea,LB,26,2028-06-30,2930,Spain,left,173,8.94,7.03,59.39,2.83,32.61,0.48,0.4,4.45,6.89,0.89,0.12,0.1,0.71,39.13,17.391,1.29,35.71,0.28,55.56,1.87,47.54,2.06,0.95,0.18,35.6,0.86,45.4,89.11,15.51,80.79,41.77,93.46,2.37,40.26,17,0.04,0.37,0.03,0.22,4.58,79.19,0.98,50,0.03,0,0.58,5.87,72.77,0,0
A. Iwobi,Fulham,"LAMF, RAMF",28,2028-06-30,2933,"Nigeria, England",right,183,4.36,3.71,58.68,1.14,18.92,0.08,0.06,2.12,2.8,5,0.28,0.16,1.87,45.9,14.754,3.8,36.29,4.76,54.19,9.05,40.68,3.34,3.41,0.71,32.25,0.49,41.43,78.37,11.26,73.57,33.91,85.25,3.8,57.26,18.45,0.16,1.26,0.61,0.8,4.6,74,5.65,57.61,1.17,42.11,2.33,8.47,82.25,0,0
I. Gueye,Everton,"LDMF, RDMF, DMF",35,2025-06-30,2967,Senegal,right,174,9.71,7.83,63.95,1.27,52.38,1.35,0.27,3.49,3.87,1,0,0.03,0.73,20.83,0,0.33,45.45,0.97,65.63,4.55,47.33,0.46,0.82,0.12,23.39,1.15,36.58,87.98,11.1,78.42,33.52,90.5,2.73,62.22,17.64,0.04,0.3,0.09,0.18,5.19,80.7,1.09,47.22,0.3,50,0.64,5.22,75.58,0,0
V. Mykolenko,Everton,LB,25,2026-06-30,2997,Ukraine,left,180,8.32,5.95,60.1,2.82,46.81,0.53,0.3,4.26,4.74,1.59,0,0.01,0.3,0,0,2.79,46.24,0.54,50,2.1,42.86,0.6,0.69,0.12,20.15,0.84,28.86,77.52,12.55,69.14,21.86,84.75,4.44,60.81,19.47,0.05,0.48,0.06,0.24,4.65,69.68,2.97,52.53,0.39,46.15,0.45,7.42,73.28,0,0
K. Lewis-Potter,Brentford,"LB, LAMF",24,2031-06-30,3010,England,right,170,5.71,5.35,58.66,2,44.78,0.11,0.24,2.48,3.11,3.2,0.03,0.05,0.78,53.85,3.846,2.39,30,3.62,57.02,6.49,43.32,1.91,3.32,0.66,20.84,0.84,30.11,78.25,9.27,64.19,23.95,87.52,3.89,50,18.97,0.09,0.57,0,0.33,3.08,56.31,2.54,45.88,0.54,27.78,0.9,5.23,68,0,0
M. Lacroix,Crystal Palace,CB,25,2029-06-30,3012,"France, Guadeloupe",right,190,10.43,6.3,68.25,3.62,52.89,0.4,0.33,5.77,6.45,0.51,0.03,0.07,0.57,26.32,5.263,0.27,11.11,0.54,61.11,1.61,50,0.78,0.3,0.03,23.84,0.51,37.83,84.04,14.4,69.5,32.12,89.77,5.44,53.85,21.54,0,0.03,0.09,0.06,4.06,71.32,0.48,12.5,0.36,25,0.03,7.26,61.73,0,0
M. Rogers,Aston Villa,"AMF, LAMF, RAMF",22,2030-06-30,3022,England,right,185,4.56,4.82,51.85,2.11,12.68,0.2,0.15,1.91,2.57,3.48,0.24,0.22,1.49,38,16,0.95,15.63,4.65,54.49,11.73,36.8,3.4,2.86,0.77,17.21,1.37,23.32,77.01,6.4,69.3,21.62,79.61,0.83,71.43,15.61,0.11,0.98,0.48,0.6,2.62,79.55,2.23,66.67,0.51,58.82,2.03,3.63,77.87,0,0
R. Aït-Nouri,Wolverhampton Wanderers,"LWB, LB",23,2026-06-30,3028,"France, Algeria",left,180,8.44,6.9,66.38,1.78,40,0.57,0.21,3.42,4.38,2.59,0.12,0.12,0.89,30,13.333,2.14,36.11,2.44,60.98,8.47,37.54,2.02,2.32,0.33,28.18,1.13,36.17,85.29,10.28,76.59,32.55,90.87,1.66,33.93,15.66,0.14,0.8,0.15,0.51,2.79,85.11,1.81,57.38,0.21,42.86,0.62,5.35,65,0,0
L. Cook,Bournemouth,"RB, RDMF, LDMF",28,2028-06-30,3036,England,right,175,7.86,7.03,56.12,2.43,45.12,0.4,0.3,3.62,4.85,1.27,0.03,0.04,0.44,26.67,6.667,1.36,50,0.5,64.71,2.13,34.72,0.5,0.98,0.42,23.51,0.24,36.91,83.69,13.43,73.29,32.61,87.91,2.96,53,18.62,0.15,1.22,0.24,0.39,6.23,74.29,1.99,61.19,0.44,26.67,0.68,7.23,77.05,0,0
I. Zabarnyi,Bournemouth,RCB,22,2029-06-30,3043,Ukraine,right,189,8.52,5.71,71.5,3.67,56.45,0.64,0.53,3.96,5.34,0.24,0,0.04,0.21,0,0,0.15,40,0.27,66.67,1.06,52.78,0.3,1.36,0.09,26.83,0.24,42.32,85.53,17.42,72.33,33.86,92.58,8.31,57.65,23.51,0.01,0.24,0,0.06,7.78,68.44,0.68,34.78,0.65,36.36,0.24,9.14,74.11,0,0
Bruno Fernandes,Manchester United,"AMF, LCMF, RCMF",30,2027-06-30,3044,Portugal,right,179,6.65,5.71,58.55,1.54,30.77,0.4,0.12,3.02,4.12,2.9,0.24,0.24,2.45,31.33,9.639,2.54,25.58,2.07,57.14,5.71,46.11,1.83,1.8,0.44,41.54,1.09,53.22,80.33,18.63,73.65,43.73,87.29,6.98,56.36,18.95,0.23,2.1,0.59,0.8,8.31,70.11,5.17,54.29,1.42,35.42,2.25,9.99,79.59,0,0
D. O'Shea,Ipswich Town,"RCB, RB, CB",26,2029-06-30,3058,Republic of Ireland,right,188,9.57,4.56,74.84,5.39,59.02,0.13,1.18,6.03,6.57,0.15,0,0.03,0.38,15.38,0,0.18,33.33,0.06,50,0.65,40.91,0.77,0.09,0.06,23.49,0.59,36.38,83.5,16.13,73.72,30.2,88.79,6,58.33,22.35,0.01,0.06,0,0.03,5.09,66.47,0.32,45.45,0.15,40,0.06,7.53,65.23,0,0
T. Mitchell,Crystal Palace,"LWB, LB",25,2025-06-30,3084,"England, Jamaica",left,175,10.48,8.58,67.35,1.46,44,0.33,0.23,4.41,4.95,1.9,0,0.02,0.23,25,0,3.06,30.48,1.23,71.43,3.85,44.7,1.2,0.76,0.12,21.13,0.61,30.2,72.46,9.6,58.66,23.52,81.51,3.79,46.92,19.56,0.16,0.85,0.06,0.47,2.57,53.41,2.68,47.83,0.5,35.29,0.55,6.65,61.4,0,0
A. Wan-Bissaka,West Ham United,"RB, RWB, LB",27,2031-06-30,3088,"England, Congo DR",right,183,10.17,5.89,64.36,1.66,42.11,1.34,0.2,5.28,6.37,2.77,0.06,0.04,0.44,33.33,13.333,2.07,35.21,2.94,62.38,6.41,48.64,1.37,2.97,0.47,28.07,0.73,39.26,82.03,14.16,75.1,34.68,86.72,2.54,56.32,15.92,0.08,0.7,0.09,0.5,4.14,68.31,2.04,47.14,0.15,40,0.61,6.5,68.61,0,0
Diogo Dalot,Manchester United,"LWB, RWB, LB",26,2028-06-30,3096,Portugal,right,184,7.88,6.05,58.17,1.89,63.08,0.73,0.23,3.81,5.04,2.41,0,0.11,0.58,25,0,2.15,35.14,2.41,61.45,4.07,50.71,1.77,1.28,0.17,29.24,0.26,40.61,83.68,12.18,74.46,34.8,88.3,3.72,67.97,17.74,0.06,0.58,0.06,0.49,3.05,67.62,1.92,50,0.23,37.5,0.58,6.74,65.09,0,0
W. Saliba,Arsenal,RCB,24,2027-06-30,3103,"France, Cameroon",right,192,6.61,4.61,78.62,2.73,61.7,0.13,0.46,2.9,4.27,0.55,0.06,0.07,0.23,50,25,0.15,40,0.49,70.59,2.15,51.35,0.44,0.38,0.06,51.86,0.46,67.38,94.75,20.16,87.63,64.39,96.08,2.87,66.67,18.09,0.01,0.09,0.03,0.03,6.7,84.85,0.46,56.25,0.17,33.33,0.15,5.92,77.45,0,0
C. Bassey,Fulham,LCB,25,2027-06-30,3104,"England, Nigeria",left,185,7.71,5.57,73.44,2.32,53.75,0.31,0.46,3.39,4.59,0.78,0.03,0.03,0.32,36.36,9.091,0.17,16.67,0.96,66.67,3.31,47.37,0.43,1.65,0.23,38.8,0.87,52.31,90.3,20.62,81.72,47.75,94.05,4.41,51.97,19.03,0,0,0,0,5.22,79.44,0.38,38.46,0.12,25,0.12,7.8,63.94,0,0
L. Colwill,Chelsea,LCB,22,2029-06-30,3113,England,left,187,7.17,4.8,69.88,3.76,63.08,0.27,0.64,3.64,5.59,0.35,0.03,0.06,0.35,25,8.333,0.38,23.08,0.2,42.86,1.27,52.27,0.75,0.66,0.06,49.15,0.58,62.79,90.84,23.53,80.84,57.91,94.66,4.6,46.54,19.91,0.01,0.14,0.2,0.03,6.62,79.04,0.61,38.1,0.55,47.37,0.23,9.05,70.29,0,0
C. Palmer,Chelsea,AMF,22,2033-06-30,3124,England,left,189,3.46,2.91,63.37,0.32,9.09,0.09,0.09,1.56,2.42,4.49,0.4,0.39,3.2,39.64,12.613,2.62,38.46,3.66,56.69,8.18,48.59,3.26,2.56,0.55,28.32,1.58,33.97,81,8.84,66.78,28.78,87.69,2.68,48.39,20.01,0.24,1.67,0.46,0.81,5.59,76.29,3.8,56.82,0.72,32,1.64,5.24,80.77,0,0
D. Muñoz,Crystal Palace,"RWB, RB",28,2028-06-30,3138,Colombia,right,181,10.93,8.8,60.59,3.99,41.01,0.55,0.09,5.11,5.77,1.86,0.11,0.17,0.8,46.43,14.286,2.15,37.33,1.15,57.5,3.84,39.55,2.47,1.12,0.23,20.65,0.54,30.32,74.83,9.06,59.81,25.84,80.69,2.47,45.35,16.81,0.13,1.09,0.09,0.49,3.01,57.14,2.09,54.79,0.37,38.46,0.72,6.31,59.09,0,0
K. Walker-Peters,Southampton,"LWB, RB, RWB",28,2025-06-30,3140,England,right,173,7.25,7.25,58.5,0.92,34.38,0.07,0.26,2.95,3.65,2.44,0,0.05,0.63,27.27,0,1.69,28.81,2.87,57,8.03,43.21,1.63,3.32,0.4,34.08,1.35,41.76,88.33,12.58,81.78,38.67,92.22,1.49,51.92,17.31,0.06,0.46,0.26,0.34,4.3,81.33,1.75,60.66,0.37,53.85,0.83,6.05,73.46,0,0
M. Guéhi,Crystal Palace,"LCB, CB",24,2026-06-30,3156,"Côte d'Ivoire, England",right,182,8.84,4.68,66.46,4.11,52.78,0.58,0.57,5.22,5.92,0.86,0.09,0.05,0.31,63.64,27.273,0.4,35.71,0.8,64.29,2.65,50.54,0.66,0.91,0.03,29.32,0.74,42.92,86.18,19.51,76.61,36.33,92.54,6.19,52.07,20.59,0.03,0.34,0,0.17,6.36,69.96,1.11,43.59,0.57,30,0.4,8.56,67,0,0
J. Gvardiol,Manchester City,"LB, LCB",23,2028-06-30,3174,Croatia,left,185,8.14,4.82,64.12,2.75,54.64,0.39,0.51,4.79,7.4,1.11,0.14,0.1,0.91,34.38,15.625,0.77,29.63,0.74,65.38,3.03,44.86,1.93,2.18,0.4,53.08,0.57,64.37,91.54,21.89,87.95,60.99,93.91,2.61,54.35,17.35,0.05,0.51,0.17,0.23,9.39,86.71,1.45,60.78,0.37,46.15,0.74,9.24,78.53,0,0
Bruno Guimarães,Newcastle United,"DMF, RCMF",27,2028-06-30,3175,"Brazil, Spain",right,182,7.99,6.69,61.02,0.94,48.48,0.53,0.31,3.51,4.67,2.38,0.11,0.1,0.99,25.71,11.429,0.74,50,2.15,57.89,10.43,47.01,1.76,0.88,0.23,30.87,2.81,41.81,84.27,14.66,72.34,37.59,87.41,3.49,57.72,17.4,0.11,0.96,0.85,0.57,6.97,75.2,3.23,64.91,1.42,52,1.98,6.89,79.01,0,0
A. Semenyo,Bournemouth,"RAMF, LAMF",25,2029-06-30,3176,"England, Ghana",right,185,5.92,5.72,58.91,4.14,37.67,0.27,0.14,2.35,3.18,5.04,0.26,0.29,3.23,32.46,7.895,1.87,25.76,4.96,68,11.96,45.5,4.34,3.68,0.31,19.64,0.96,25.14,77.56,5.7,60.7,22.05,84.45,1.3,30.43,16.66,0.11,0.91,0.26,0.45,1.98,58.57,2.35,61.45,0.34,33.33,1.56,3.37,70.59,0,0
R. Gravenberch,Liverpool,RDMF,22,2028-06-30,3210,"Netherlands, Suriname",right,190,9.03,6.45,66.09,1.32,57.45,0.42,0.31,4.49,6.77,1.71,0,0.03,0.5,27.78,0,0.25,66.67,2.02,63.89,6.17,47.27,0.45,1.79,0.31,36.28,1.32,48.81,89.37,13.74,76.73,46.51,91.26,2.05,49.32,15.55,0.07,0.64,0.25,0.31,5.38,79.17,1.77,63.49,0.56,45,1.04,4.63,66.67,0,0
A. Robinson,Fulham,"LB, LWB",27,2028-06-30,3215,"England, United States",left,183,9.99,8.17,61.3,2.44,54.02,0.15,0.08,4.87,6.48,3.42,0,0.03,0.45,12.5,0,4.87,37.93,2.3,63.41,4.67,45.51,1.79,2.41,0.87,34.49,0.45,46.72,78.49,15.17,71.77,37.9,86.26,4.2,56,18.98,0.14,1.09,0.08,0.76,4.28,69.93,4.51,41.61,0.48,29.41,0.84,8.23,68.03,0,0
J. Tarkowski,Everton,RCB,32,2026-06-30,3224,"England, Poland",right,185,9.41,4.33,70.97,4.75,65.88,0.53,1.12,5.86,6.56,0.25,0.03,0.04,0.31,36.36,9.091,0.11,50,0.14,40,1.12,50,0.95,0.45,0,20.43,0.75,33.75,84.62,14.26,72.02,28.47,89.9,5.16,56.22,22.24,0.04,0.25,0.03,0.14,5,65.92,0.84,46.67,0.7,40,0.47,6.53,63.68,0,0
Murillo,Nottingham Forest,"LCB, CB",22,2029-06-30,3233,Brazil,left,184,9.6,4.2,64.24,2.09,62.67,0.3,1,6.63,7.17,1,0.03,0.06,0.53,26.32,5.263,0.19,85.71,0.84,83.33,2.12,52.63,0.42,0.64,0.14,19.54,0.11,32.4,81.7,17.54,72.22,25.25,89.42,6.96,53.6,21.36,0.01,0.14,0.11,0.14,6.24,63.39,0.97,51.43,0.81,27.59,0.31,8.02,70.49,0,0
Y. Tielemans,Aston Villa,"LDMF, LCMF, AMF",27,2027-06-30,3234,"Belgium, Congo DR",right,176,7.68,6.46,62.07,1.17,54.76,0.49,0.45,3.31,4.48,1.84,0.06,0.08,0.97,34.29,5.714,0.95,14.71,1.59,75.44,5.34,50,0.83,0.83,0.19,37.85,1.39,48.92,86.52,16.53,76.43,44.78,90.49,3.23,51.72,17.4,0.16,1.11,0.45,0.45,8.77,79.05,2.31,49.4,1.17,33.33,0.92,7.12,75.78,0,0
N. Milenković,Nottingham Forest,RCB,27,2029-06-30,3282,Serbia,right,195,6.83,3.84,72.14,3.78,64.49,0.03,0.66,4.03,4.34,0.25,0.11,0.1,0.44,37.5,25,0.03,100,0.11,50,0.3,54.55,0.85,0.16,0,13.49,0.11,23.88,86.34,9.38,75.73,19.88,91.17,3.98,62.07,21.07,0.01,0.08,0,0.05,2.39,67.82,0.25,55.56,0.08,33.33,0.27,4.36,65.41,0,0
M. Kilman,West Ham United,"LCB, CB",27,2031-06-30,3291,"England, Ukraine",left,194,8.31,3.47,66.93,4.68,60.82,0.2,0.71,5.82,7.02,0.19,0,0.04,0.16,0,0,0.16,16.67,0.3,54.55,1.61,50.85,0.33,0.79,0.14,31.97,0.33,44.44,89.97,16.33,79.73,38.42,95.09,5.85,58.41,21,0.02,0.16,0.03,0.05,4.35,77.36,0.38,50,0.3,36.36,0.16,6.56,68.75,0,0
M. Kerkez,Bournemouth,LB,21,2028-06-30,3298,"Serbia, Hungary",left,176,8.1,6.25,60.26,2.18,41.25,0.51,0.33,3.96,5.23,2.21,0.05,0.02,0.46,29.41,11.765,3.47,31.5,1.64,60,4.26,52.56,1.42,2.07,0.49,23.91,1.17,34.98,77.77,13.37,71.84,27.78,87.33,4.04,49.32,19.52,0.1,0.82,0.05,0.44,4.72,67.05,2.97,40.37,0.3,45.45,0.35,6.74,71.66,0,0
D. Burn,Newcastle United,LCB,32,2026-06-30,3308,England,left,198,7.67,4.3,63.92,5.52,62.56,0.32,0.68,4.68,6.2,0.19,0.03,0.08,0.33,33.33,8.333,0.05,0,0.11,75,0.6,45.45,0.84,0.16,0.05,30.85,0.35,44.02,91.35,13.98,82.49,41.33,93.94,2.64,52.58,18.98,0.01,0.05,0,0.03,2.15,68.35,0.24,55.56,0.08,66.67,0.3,4.73,56.9,0,0
Mohamed Salah,Liverpool,RAMF,32,2027-06-30,3311,Egypt,left,175,2.36,2.26,61.45,0.68,24,0,0,0.98,1.49,4.92,0.76,0.64,3.15,47.41,24.138,2.83,34.62,5.08,44.39,10.9,32.42,7.01,3.4,0.41,26.67,0.92,30.12,76.17,5.93,61.01,25.17,82.4,2.15,58.23,16.78,0.25,1.88,0.68,1.14,2.15,59.49,4.84,53.93,1.28,38.3,3.1,5.27,86.6,0,0
M. Caicedo,Chelsea,"RDMF, LDMF",23,2031-06-30,3322,Ecuador,right,178,8.91,7.34,63.47,1.46,51.85,0.99,0.22,3.6,5.5,1.08,0.03,0.02,0.46,11.76,5.882,0.38,28.57,1.44,54.72,4.93,53.85,0.22,1.08,0.14,38.01,1.46,51.04,90.98,13.28,80.41,46.9,93.41,3.82,67.38,17.95,0.07,0.54,0.27,0.27,8.24,82.89,1.35,66,0.7,42.31,0.62,6.39,81.78,0,0
