Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
H. Barnes,Newcastle United,"LWF, LW",26,2028-06-30,935,"England, Scotland",right,182,1.83,2.7,39.29,1.54,31.25,0,0,0.77,1.19,4.24,0.48,0.23,2.6,44.44,18.519,1.64,35.29,3.66,63.16,9.24,45.83,5.78,3.56,1.16,19.44,2.02,25.03,76.92,5.87,63.93,22.33,80.6,1.06,63.64,15.79,0.19,0.96,0.48,0.77,1.64,76.47,2.21,78.26,0.67,42.86,2.02,3.75,66.67,0,0,,,
K. Trippier,Newcastle United,RB,33,2026-06-30,2537,England,right,178,9.9,6.95,54.08,2.06,50,0.63,0.25,5.68,7.78,2.27,0.04,0.02,0.28,25,12.5,3.76,41.51,0.78,59.09,2.34,45.45,1.06,0.99,0.35,45.62,0.67,58.64,81,21.68,72.01,49.31,87.48,5.85,50.91,19.77,0.34,2.31,0.28,0.78,6.99,67.51,4.01,57.52,0.67,42.11,1.06,12.88,71.35,0,0,,,
L. Miley,Newcastle United,"RCMF, DMF, LCMF",18,2029-06-30,1343,England,right,185,8.78,7.04,64.76,1.88,39.29,0.37,0.2,3.95,5.5,1.27,0.07,0.1,0.8,25,8.333,1.21,33.33,0.74,45.45,4.29,20.31,2.35,0.74,0.34,23.59,0.4,34.58,83.72,8.58,71.09,31.56,87.9,1.88,42.86,16.92,0.12,0.54,0.47,0.27,3.02,75.56,1.27,68.42,0.47,57.14,0.67,4.29,53.13,0,0,,,
T. Livramento,Newcastle United,"LB, RB",21,2028-06-30,1525,"England, Scotland",right,182,8.62,5.31,60,1.3,50,0.69,0.41,4.96,7.26,2.83,0.06,0.03,0.24,50,25,1.89,28.13,2.54,81.4,5.96,63.37,1.59,2.07,0.65,28.33,1.65,40.01,85.69,12.33,83.25,36.41,90.44,1.89,46.88,14.98,0.05,0.47,0.3,0.24,3.84,83.08,2.12,52.78,0.24,25,0.65,4.84,57.32,0,0,,,
M. Dúbravka,Newcastle United,GK,35,2025-06-30,2271,Slovakia,right,190,1.19,0.32,0,0.24,100,0,0,1.19,1.67,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0.04,9.59,0.16,15.26,90.65,5.15,76.15,12.36,99.04,2.89,54.79,27.71,0,0,0,0,0.28,28.57,0,0,0.04,0,0,2.06,57.69,69.57,1.78,2.85,0.113,1.35
F. Schär,Newcastle United,"RCB, LCB",32,2025-06-30,3467,Switzerland,right,186,8.59,4.75,62.84,4.05,48.08,0.57,0.78,5.19,7.14,0.78,0.1,0.08,0.78,30,13.333,0.34,38.46,0.78,43.33,1.79,50.72,0.78,1.45,0.29,36.29,0.67,51.24,85.16,20.9,72.42,42.11,92.05,8.8,53.98,23.13,0.02,0.1,0.16,0.16,6.52,60.96,1.25,37.5,1.01,35.9,0.39,9.03,64.37,0,0,,,
D. Burn,Newcastle United,"LB, LCB",32,2025-06-30,3073,England,left,198,10.02,6.94,62.87,4.98,62.94,0.57,0.5,5.24,7.32,0.41,0.06,0.12,0.5,35.29,11.765,0.44,33.33,0.09,66.67,1.05,25,0.88,0.32,0.15,27.3,0.29,40.15,85.05,16.49,76.2,36.96,89.06,2.75,39.36,18.09,0.02,0.21,0.03,0.18,3.37,66.96,0.5,47.06,0.15,40,0.12,5.92,56.93,0,0,,,
E. Krafth,Newcastle United,"RB, RCB",30,2025-06-30,1065,Sweden,right,184,6.85,6.51,50.65,2.7,50,0.13,0.25,3.46,5.13,1.44,0,0.02,0.34,0,0,1.52,55.56,0.76,77.78,2.03,50,0.76,0.85,0.25,30.17,0.59,41.83,86.46,16.56,82.65,37.77,91.5,2.7,31.25,15.11,0.04,0.51,0,0.34,3.3,66.67,1.61,68.42,0.17,50,0.42,5.75,57.35,0,0,,,
J. Lascelles,Newcastle United,RCB,30,2025-06-30,1221,"England, Barbados",right,188,7.37,4.57,53.23,5.53,60,0.44,0.74,4.64,6.9,0.22,0.07,0.03,0.22,33.33,33.333,0.07,0,0.15,100,1.03,28.57,0.81,0.37,0.22,38.7,0.15,52.85,90.52,16.66,77.88,48.8,93.66,3.98,53.7,19.42,0,0.07,0,0,4.05,69.09,0.29,25,0.15,50,0.07,6.04,60.98,0,0,,,
M. Almirón,Newcastle United,"RWF, RW",30,2026-06-30,2165,Paraguay,left,174,6.24,5.28,62.99,0.83,35,0.54,0.04,2.54,3.65,2.91,0.12,0.2,1.54,32.43,8.108,1.29,32.26,2.99,61.11,6.86,38.79,3.49,2.74,1.62,25.27,0.91,32.59,86.22,7.61,75.96,30.47,89.63,0.91,40.91,14.47,0.09,0.54,0.37,0.21,2.04,79.59,1.66,55,0.33,37.5,0.91,3.33,81.25,0,0,,,
J. Murphy,Newcastle United,"RWF, RW",29,2027-06-30,1344,"England, Republic of Ireland",right,179,6.5,4.75,57.75,0.94,28.57,0.37,0.07,3.48,4.81,4.29,0.2,0.19,1.81,33.33,11.111,4.75,28.17,2.81,73.81,6.9,48.54,3.15,1.54,0.47,21.36,1,31.81,69.68,8.17,61.48,25.31,79.37,1.81,40.74,17.91,0.28,1.61,0.8,1,3.48,59.62,5.83,43.68,0.94,35.71,1.54,6.29,77.66,0,0,,,
Bruno Guimarães,Newcastle United,"DMF, LCMF",26,2028-06-30,3689,"Brazil, Spain",right,182,8.32,6.98,61.89,1.24,43.14,0.75,0.39,3.46,4.85,3.2,0.17,0.13,1.15,34.04,14.894,0.98,40,3.66,56,11.86,44.24,1.61,0.98,0.29,37.86,2.56,51.4,85.19,16.61,70.78,44.91,89.57,5.59,58.08,18.88,0.12,0.95,1.15,0.56,6.78,65.83,3.64,53.69,2,32.93,1.81,6.1,80.8,0,0,,,
E. Anderson,Newcastle United,"LCMF, LWF",21,,1167,"England, Scotland",right,179,7.87,6.4,59.04,3.32,51.16,0.79,0.23,3.55,5.19,3.16,0,0.1,1.39,27.78,0,1.85,33.33,3.78,51.02,11.88,40.26,3.24,2.7,0.62,22.83,1.54,32.16,84.41,10.18,77.27,29.23,89.71,1.31,41.18,15.82,0.09,0.93,0.69,0.39,4.09,73.58,2.01,46.15,0.85,27.27,0.77,4.47,77.59,0,0,,,
A. Isak,Newcastle United,CF,25,2028-06-30,2507,"Sweden, Eritrea",right,192,2.41,1.4,61.54,2.19,19.67,0,0.07,1.54,2.09,3.48,0.75,0.61,2.58,55.56,29.167,0.57,31.25,3.09,54.65,7,40.51,3.91,2.08,0.61,12.13,0.54,16.08,79.02,3.12,70.11,15.11,81.24,0.39,63.64,15.32,0.07,0.61,0.43,0.36,1.65,69.57,1.51,61.9,0.39,45.45,0.97,1.47,85.37,0,0,,,
S. Longstaff,Newcastle United,"RCMF, LCMF",26,2025-06-30,3123,England,right,180,6.31,4.99,59.54,1.38,52.08,0.56,0.26,2.94,4.06,1.33,0.17,0.18,1.12,38.46,15.385,0.98,32.35,0.81,46.43,3.72,33.33,2.45,0.52,0.06,25.82,0.86,33.78,82.68,10.46,73,30.52,86.78,2.31,48.75,16.98,0.07,0.4,0.43,0.2,3.8,71.21,1.61,57.14,0.55,42.11,0.89,4.44,74.03,0,0,,,
S. Botman,Newcastle United,LCB,24,2027-06-30,1564,Netherlands,left,193,8.98,4.72,74.39,3.86,61.19,0.68,0.98,4.95,6.5,0.23,0.12,0.05,0.46,37.5,25,0.12,0,0.17,33.33,0.58,30,0.98,0.06,0,39.88,0.17,53.75,91.22,20.6,83.24,49.78,94.8,3.86,47.76,19.97,0.04,0.23,0.06,0.06,3.28,71.93,0.17,33.33,0.17,0,0.23,6.1,58.49,0,0,,,
A. Gordon,Newcastle United,"LWF, LW, CF",23,2026-06-30,3232,England,right,183,4.62,5.51,53.03,1.03,32.43,0.15,0.03,1.59,2.18,4.79,0.31,0.31,2.17,37.18,14.103,2.12,32.89,5.21,59.36,9.77,50.43,3.73,3.76,1.23,21.08,1.7,26.51,81.09,5.65,74.38,23.2,86.31,1.23,63.64,16.81,0.18,1.34,0.61,0.58,2.06,68.92,2.7,55.67,0.64,30.43,1.42,4.07,83.56,0,0,,,
M. Sels,Nottingham Forest,GK,32,2027-06-30,1631,Belgium,right,188,0.61,0,0,0.44,75,0,0,0.61,0.66,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,7.78,0.17,11.48,86.06,7.28,78.03,5.46,97.98,6.01,75.23,35.43,0,0.06,0,0,1.43,69.23,0.22,75,0.28,60,0.17,4.91,83.15,59.09,1.1,-7.02,-0.387,1.1
I. Sangaré,Nottingham Forest,"LDMF, RCMF",26,2028-06-30,1139,Côte d'Ivoire,right,191,10.9,9.48,60,2.84,36.11,0.92,0.47,4.35,4.6,0.4,0,0.04,0.55,0,0,0.24,33.33,0.55,42.86,3.95,42,0.95,0.32,0.16,20.47,0.71,32.55,82.52,10.43,65.91,29.63,85.07,2.69,58.82,17.29,0.02,0.4,0.4,0.16,4.35,70.91,1.19,46.67,0.71,33.33,0.55,4.03,62.75,0,0,,,
A. Omobamidele,Nottingham Forest,RCB,22,2028-06-30,890,"Republic of Ireland, Nigeria",right,188,8.7,4.45,68.18,2.53,44,0.22,0.71,5.46,5.87,0,0,0.01,0.1,0,0,0,0,0.2,0,0.4,25,0.51,0.2,0.1,20.73,0.3,30.54,89.4,8.39,81.93,28.62,91.87,1.92,52.63,17.41,0.02,0.2,0,0.1,1.62,68.75,0,0,0.1,0,0.1,3.34,54.55,0,0,,,
Murillo,Nottingham Forest,"LCB, CB",22,,3157,Brazil,left,184,8.87,4.39,61.69,2.99,45.71,0.34,0.6,5.84,6.33,0.68,0,0.05,0.37,46.15,0,0.09,33.33,0.94,48.48,2.45,37.21,0.46,1.08,0.26,24.49,0.23,38.29,82.65,18.79,74.2,30.9,88.28,7.3,59.38,22.81,0.01,0.11,0.17,0.09,6.3,63.35,0.91,40.63,1.08,26.32,0.37,8.84,65.81,0,0,,,
D. Origi,Nottingham Forest,"RAMF, CF",29,2026-06-30,733,"Belgium, Kenya",right,189,4.54,3.93,59.38,3.56,24.14,0.3,0,1.96,2.36,2.7,0,0.15,1.84,26.67,0,1.72,21.43,3.81,41.94,10.56,30.23,2.33,1.47,0.37,11.42,0.61,15.59,70.08,3.07,44,13.26,75,0.86,85.71,15.13,0.13,0.49,0.37,0.74,1.84,73.33,1.23,40,0.49,75,0.49,1.96,81.25,0,0,,,
H. Toffolo,Nottingham Forest,LB,29,2025-06-30,1673,England,left,183,10.22,7.05,64.12,2.69,54,0.56,0.59,5.16,5.42,1.13,0.05,0.07,0.38,42.86,14.286,2.04,42.11,0.22,50,1.45,40.74,0.65,0.22,0.22,15.76,0.11,24.8,77.44,11.35,71.09,19.69,85.25,3.07,50.88,20.97,0.07,0.75,0,0.38,3.71,66.67,1.78,48.48,0.11,0,0.11,5.81,66.67,0,0,,,
C. Hudson-Odoi,Nottingham Forest,"LAMF, LW, LWF",23,2026-06-30,2085,"England, Ghana",right,178,3.71,3.5,56.79,0.47,18.18,0,0.04,1.73,1.96,5.31,0.35,0.13,1.64,52.63,21.053,3.11,34.72,5.09,58.47,11.14,42.64,3.06,4.83,2.03,22.32,1.21,30.47,80.88,4.66,63.89,26.07,86.92,1.42,69.7,18.35,0.16,1.51,0.86,0.47,1.34,51.61,3.45,48.75,0.78,38.89,1.29,4.27,69.7,0,0,,,
N. Williams,Nottingham Forest,RB,23,2026-06-30,1890,Wales,right,183,12.38,9.86,57.49,3.19,53.73,1.23,0.48,5.62,6.3,3.52,0,0.06,0.67,28.57,0,3.43,31.94,3.52,60.81,7.48,49.68,1.38,1.67,1.1,19.67,1.38,29.81,73,11.57,62.55,23,83.64,3.48,42.47,19.76,0.07,0.57,0.19,0.29,3.43,55.56,2.86,45,0.33,14.29,0.38,5.9,60.48,0,0,,,
N. Domínguez,Nottingham Forest,"LDMF, RDMF, LCMF",26,2028-06-30,1651,"Argentina, Italy",right,179,12.27,10.58,67.01,2.62,33.33,1.39,0.27,3.87,4.12,1.36,0.11,0.08,1.04,31.58,10.526,0.33,33.33,0.87,56.25,2.83,44.23,1.42,0.93,0.05,30.09,0.87,43.56,87.86,13.85,80.31,40.56,90.05,2.67,61.22,15.37,0.05,0.38,0.6,0.11,5.18,78.95,1.36,64,0.76,42.86,0.98,5.29,77.32,0,0,,,
Danilo,Nottingham Forest,"LDMF, LCMF",23,2029-06-30,1998,Brazil,left,176,8.47,5.5,64.75,1.26,46.43,0,0.32,4.91,5.26,1.44,0.09,0.1,1.08,20.83,8.333,0.23,0,1.17,84.62,3.24,50,0.59,0.54,0.23,22.66,0.45,31.76,83.26,9.68,73.49,28.42,87.8,3.11,47.83,18.34,0.06,0.81,0.5,0.18,5.09,77.88,1.31,58.62,0.95,38.1,0.77,5.09,61.06,0,0,,,
A. Elanga,Nottingham Forest,"RAMF, LAMF, CF",22,2028-06-30,2768,"Sweden, Cameroon",right,178,4.23,4.26,61.07,2.31,28.17,0.04,0.03,1.59,1.75,3.58,0.16,0.23,1.69,44.23,9.615,2.21,30.88,3.93,52.07,8.06,38.31,3.54,2.76,1.46,17.72,0.91,22.04,75.37,4.13,59.84,19.44,81.1,0.46,42.86,15.43,0.19,0.91,0.16,0.72,1.33,80.49,1.85,45.61,0.2,50,0.94,3.25,64,0,0,,,
C. Wood,Nottingham Forest,CF,32,,2103,New Zealand,right,191,2.65,2.35,50.91,8.3,37.11,0.1,0.04,1.37,1.53,1.75,0.6,0.49,1.93,57.78,31.111,0.21,60,0.73,52.94,5.14,29.17,3.42,0.47,0,11.26,0.51,15.45,72.58,4.15,53.61,14.85,72.62,0.43,80,12.66,0.06,0.56,0.3,0.3,1.67,53.85,0.21,40,0.21,60,0.47,1.5,51.43,0,0,,,
S. Aurier,Nottingham Forest,"RB, RWB",31,,944,Côte d'Ivoire,right,176,9.15,6.86,68.06,5.53,58.62,0.51,0.19,4,4.3,1.81,0,0.03,0.48,0,0,2.19,43.48,1.72,44.44,4.48,44.68,1.24,0.57,0.19,26.89,0.95,36.71,85.19,15.06,79.75,32.22,89.94,2.48,57.69,17.77,0.06,0.38,0.1,0.57,5.91,70.97,2.76,48.28,0.38,50,0.38,7.53,75.95,0,0,,,
W. Boly,Nottingham Forest,RCB,33,2025-06-30,1630,"France, Côte d'Ivoire",right,195,9.55,6.13,64.86,5.69,60.19,0.39,0.99,5.19,5.27,0.66,0.11,0.11,0.61,54.55,18.182,0.22,0,0.33,100,1.21,31.82,1.05,0.17,0.06,19.77,0.11,31.31,80.6,14.52,69.96,25.56,88.98,5.52,45,21.26,0.03,0.11,0,0.11,3.92,49.3,0.83,40,0.77,42.86,0.44,6.24,57.52,0,0,,,
O. Aina,Nottingham Forest,"LB, RB",28,2025-06-30,1881,"England, Nigeria",right,184,9.28,6.65,62.59,1.77,45.95,0.48,0.05,4.64,4.69,2.82,0.05,0.01,0.53,9.09,9.091,1.67,37.14,3.35,64.29,6.41,48.51,0.57,2.11,0.77,20.91,1.15,30.67,80.66,14.07,74.49,26.56,86.31,2.49,50,17.13,0.07,0.53,0.43,0.33,4.31,75.56,1.96,36.59,0.67,7.14,0.43,5.98,72.8,0,0,,,
T. Awoniyi,Nottingham Forest,CF,27,2027-06-30,1159,Nigeria,right,183,2.8,2.87,67.57,4.97,25,0,0.23,0.85,0.93,1.63,0.47,0.41,1.48,57.89,31.579,0.23,0,1.24,50,9.32,24.17,2.95,1.09,0.16,8.54,1.24,12.5,79.5,2.02,61.54,12.27,81.01,0,0,11.88,0.03,0.54,0.16,0.39,0.78,50,0.62,37.5,0.16,100,0.7,0.78,50,0,0,,,
M. Niakhaté,Nottingham Forest,"RCB, LCB",28,2028-06-30,1684,"France, Senegal",left,190,9.25,6.84,77.34,1.71,71.88,0.39,0.53,3.58,3.69,0.64,0.05,0.05,0.21,25,25,0.64,41.67,0.43,75,1.44,40.74,0.48,0.53,0.16,23.46,0.16,35.17,88.6,13.25,79.84,30.89,93.6,3.69,53.62,19.31,0.02,0.21,0.05,0,2.83,73.58,0.64,50,0.21,50,0.11,5.18,65.98,0,0,,,
O. Mangala,Nottingham Forest,"DMF, LCMF, RDMF",26,2028-06-30,1748,"Belgium, Congo DR",right,178,8.19,5.92,63.48,1.18,52.17,0.52,0.31,3.91,3.97,1.49,0.05,0.04,0.51,10,10,0.36,71.43,2.16,54.76,5.25,41.18,0.36,0.41,0.15,23.43,1.08,33.11,89.74,8.86,75.58,30.84,92.65,1.96,47.37,16.35,0,0.26,0,0,2.57,88,0.41,25,0.26,0,0.1,3.24,66.67,0,0,,,
M. Turner,Nottingham Forest,GK,30,2027-06-30,1750,"United States, Lithuania",right,191,1.39,0.05,100,0.67,92.31,0,0.05,1.34,1.39,0,0,0,0,0,0,0,0,0,0,0.1,50,0,0,0,10.59,0.15,16.77,83.44,10.59,78.16,9.31,98.9,7.41,64.58,33.3,0,0,0,0,1.59,54.84,0.05,0,0,0,0,5.25,72.55,67.82,1.45,0.2,0.01,2.06
G. Montiel,Nottingham Forest,"RB, RWB",27,2026-06-30,895,"Argentina, Spain",right,175,10.36,6.13,70.49,2.21,45.45,0.72,0.2,5.33,5.48,1.01,0,0.02,0.3,0,0,2.01,20,0.7,71.43,1.41,35.71,1.01,0.91,0.6,21.72,0.1,33.28,79.76,14.78,72.79,26.75,89.47,4.53,48.89,18,0.09,0.7,0.1,0.5,3.62,61.11,2.01,60,0.4,50,0.8,6.34,69.84,0,0,,,
M. Gibbs-White,Nottingham Forest,"AMF, RW, CF",24,2027-06-30,3563,"England, Jamaica",right,171,5.15,4.5,59.55,3.38,43.28,0.45,0.18,2.05,2.16,3.06,0.13,0.18,1.69,19.4,7.463,1.49,47.46,3.51,51.08,8.84,38.29,2.17,1.74,0.93,22.53,1.39,30.77,79.15,9.02,68.63,27.15,83.53,2.25,46.07,17.28,0.21,1.54,0.73,0.71,4.5,69.66,2.17,60.47,0.99,30.77,1.19,4.75,76.6,0,0,,,
R. Yates,Nottingham Forest,"RDMF, RCMF",26,2028-06-30,2309,England,right,190,10.91,9.86,64.03,3.98,42.16,0.38,0.58,4.25,4.63,0.51,0.04,0.12,1.13,20.69,3.448,0.27,28.57,0.47,33.33,4.4,53.98,1.29,0.66,0.35,17.85,2.07,29.27,83.62,9.35,67.08,26.97,87.14,2.03,44.23,17.18,0.05,0.27,0.12,0.08,3.43,68.18,0.74,57.89,0.12,33.33,0.31,3.78,56.7,0,0,,,
M. Holgate,Sheffield United,RCB,27,2025-06-30,791,"England, Jamaica",right,184,9.22,4.89,65.12,1.59,42.86,0.56,0.57,5.46,5.39,0.57,0,0.06,0.23,0,0,0.8,57.14,0.34,33.33,2.16,21.05,0.23,0,0,9.56,0.46,20.37,71.51,10.13,57.3,15.93,76.43,3.64,53.13,18.55,0.01,0.11,0,0,3.87,64.71,0.91,50,0.23,0,0,5.01,50,0,0,,,
L. Thomas,Sheffield United,"LWB, LB",23,,1048,England,left,181,9.27,6.18,59.72,2.92,38.24,0.26,0.34,5.32,5.41,1.12,0,0.04,0.52,16.67,0,1.12,46.15,0.52,100,3.44,42.5,0.94,0.43,0.34,15.89,1.12,23.79,75.81,9.62,59.82,20.01,80.69,2.66,51.61,16.91,0.02,0.17,0.17,0.09,2.58,70,1.29,46.67,0.26,33.33,0.17,5.84,55.88,0,0,,,
C. Archer,Sheffield United,CF,22,2028-06-30,2102,"England, Jamaica",right,175,3.77,3.55,60.24,2.18,9.8,0.05,0.3,1.58,1.76,2.27,0.17,0.2,1.63,23.68,10.526,0.43,60,2.44,66.67,9.55,33.18,2.53,1.71,0.77,9.16,0.86,14,81.35,1.63,71.05,13.32,83.28,0.3,14.29,11.97,0.1,0.77,0.13,0.34,0.64,60,0.34,62.5,0.13,0,0.6,1.03,45.83,0,0,,,
A. Brooks,Sheffield United,"LCMF, LW",21,,1047,"England, Jamaica",left,180,9.28,7.22,59.52,2.84,27.27,0.84,0.09,4.13,4.02,1.46,0,0.09,0.77,22.22,0,0.95,18.18,1.98,56.52,6.62,32.47,1.29,1.38,0,13.93,0.77,20.89,78.19,4.9,50.88,18.4,85.98,1.55,22.22,16.38,0,0.09,0.17,0,1.81,71.43,0.77,33.33,0.34,0,0.26,2.23,42.31,0,0,,,
O. Arblaster,Sheffield United,"DMF, RCMF",20,,1047,England,right,178,7.39,4.99,51.72,2.41,35.71,1.33,0.34,3.52,3.63,1.29,0,0,0.09,100,0,0.26,0,2.06,54.17,5.07,47.46,0.43,1.2,0.52,21.75,1.12,34.81,84.94,11.35,71.97,32.15,88.24,2.41,50,16.03,0.06,0.77,0.34,0.09,3.95,76.09,1.2,42.86,0.34,25,0.43,5.24,60.66,0,0,,,
W. Osula,Sheffield United,CF,21,2029-06-30,904,"Denmark, England",right,186,2.89,3.29,54.55,10.95,20,0,0.1,1.1,1.05,2.19,0,0.3,1.89,42.11,0,0.2,50,2.89,41.38,9.56,27.08,2.39,1.1,0.8,5.48,1.19,6.87,63.77,1.79,33.33,6.27,66.67,0.6,33.33,11.75,0,0,0.2,0,0.6,16.67,0.5,40,0.2,50,0.3,0.5,20,0,0,,,
J. McAtee,Sheffield United,"RW, CF, LCMF",21,2026-06-30,2065,England,left,180,5.71,4.53,62.5,2.44,12.5,0.09,0,2.79,2.99,2.88,0.13,0.12,1.05,29.17,12.5,1.09,36,4.58,40,9.5,36.24,1.96,2.53,0.96,14.34,1.26,21.75,73.15,6.45,56.08,19.22,77.55,1.48,41.18,15.44,0.11,0.87,0.7,0.22,2.57,55.93,2.05,59.57,0.74,41.18,1.09,3.18,75.34,0,0,,,
G. Baldock,Sheffield United,"RCB, RWB, RB",31,2027-06-30,1091,"England, Greece",right,178,7.75,6.43,48.72,2.56,51.61,0.16,0.58,4.45,4.34,1.9,0,0,0.08,0,0,1.81,54.55,1.48,61.11,3.38,46.34,0.74,0.66,0.25,16.5,0.91,25.41,79.87,10.72,70,20.05,84.77,3.55,65.12,18.46,0.09,0.58,0.25,0.41,2.31,67.86,1.65,65,0.41,0,0.58,5.2,71.43,0,0,,,
O. Norwood,Sheffield United,"DMF, LCMF, RCMF",33,2027-06-30,1710,"England, Northern Ireland",right,180,9.95,6.63,61.11,1.74,33.33,1.38,0.37,4.53,4.57,0.63,0.05,0.06,0.74,42.86,7.143,0.68,38.46,0.11,50,0.89,47.06,0.26,0.16,0,28.11,0.42,41.89,77.89,17.68,61.31,32.11,86.89,9.11,49.13,22.24,0.08,0.68,0.11,0.05,9.63,55.19,1.84,42.86,1.21,26.09,0.58,8.84,74.4,0,0,,,
J. Robinson,Sheffield United,"LCB, CB",31,2025-06-30,3279,England,left,168,7.63,4.12,62,3.87,54.61,0.42,0.91,4.67,4.75,0.36,0.03,0.05,0.3,36.36,9.091,0.33,41.67,0.3,36.36,1.29,34.04,0.58,0.33,0.05,17.62,0.47,27.2,82.34,11.31,69.66,22.12,90.2,4.75,48.55,20.52,0.03,0.38,0.05,0.03,3.38,54.47,0.41,46.67,0.19,0,0.14,4.86,59.32,0,0,,,
W. Foderingham,Sheffield United,GK,33,2026-06-30,3029,England,left,185,2.76,0.24,100,0.42,92.86,0.03,0,2.5,2.59,0.06,0,0,0,0,0,0,0,0.06,100,0.24,62.5,0,0,0,11.29,0.33,18.07,81.09,12.33,75.42,7.64,97.67,10.37,69.34,37.63,0,0,0,0,1.87,63.49,0,0,0.03,0,0.03,8.26,76.98,62.74,2.22,-4.28,-0.127,1.43
B. Osborn,Sheffield United,"LB, LCMF, LWB",30,2026-06-30,1581,England,left,176,6.43,5.29,51.61,1.59,17.86,0.24,0.11,3.47,3.63,1.2,0,0,0.23,0,0,2.11,29.73,0.85,60,2.79,36.73,0.57,0.68,0.11,20.83,0.51,29.77,75.72,10.7,58.51,23.62,86.51,4.04,36.62,18.57,0.04,0.4,0.17,0.17,4.27,48,2.33,29.27,0.46,12.5,0.17,5.58,66.33,0,0,,,
I. Grbić,Sheffield United,GK,28,2027-06-30,872,Croatia,right,195,2.58,0.1,100,0.62,83.33,0,0,2.48,2.42,0,0,0,0,0,0,0,0,0,0,0.21,100,0,0,0,9.08,0.31,14.55,79.43,9.39,70.33,6.4,96.77,8.15,65.82,37.97,0,0,0,0,1.44,57.14,0,0,0,0,0,6.3,78.69,60.32,2.2,-3.72,-0.384,1.44
O. McBurnie,Sheffield United,CF,28,2027-06-30,1464,"England, Scotland",right,188,4.61,2.95,54.17,13.83,44.44,0.34,0,2.7,3.03,2.21,0.37,0.44,2.03,51.52,18.182,0.43,57.14,1.72,50,8.18,38.35,3.38,0.61,0.06,10.39,1.6,18.63,73.6,4.61,58.67,17.95,73.97,0.25,75,11.97,0.12,0.49,0.12,0.37,2.15,54.29,0.68,36.36,0.06,100,0.31,1.54,76,0,0,,,
A. Ahmedhodžić,Sheffield United,"RCB, CB",25,2026-06-30,3039,"Sweden, Bosnia and Herzegovina",right,190,9.42,6.57,64.41,3.38,49.12,0.53,0.62,4.68,4.93,0.41,0.06,0.11,0.53,27.78,11.111,0.18,33.33,0.65,27.27,1.87,26.98,0.71,0.74,0.53,16.2,0.38,27.42,80.56,12.02,68.97,22.95,86.58,4.32,50,19.08,0.01,0.18,0.03,0.06,2.52,57.65,0.36,25,0.15,60,0.15,5.06,58.48,0,0,,,
A. Trusty,Sheffield United,"LCB, CB, LB",26,2029-06-30,2931,United States,left,191,10.04,6.63,63.43,4.21,48.91,0.12,0.61,5.71,5.77,0.25,0,0.02,0.21,14.29,0,0.31,30,0.28,44.44,1.26,31.71,0.58,0.18,0.03,15.84,0.37,25.76,84.15,9.58,69.55,22.54,88.56,2.92,55.79,17.36,0.02,0.12,0.03,0.15,2.33,57.89,0.34,36.36,0.28,33.33,0.15,4.08,53.38,0,0,,,
J. Bogle,Sheffield United,"RB, RWB",24,2028-06-30,3147,England,right,178,9.72,8.41,55.44,2.57,57.78,0.29,0.31,4.78,4.82,1.52,0.09,0.07,0.83,37.93,10.345,1.4,22.45,1.97,42.03,4.32,39.07,1.4,1.2,0.69,15.73,0.66,22.19,71.78,8.18,59.09,18.07,81.01,2.83,37.37,19.11,0.02,0.2,0.4,0.14,2.69,54.26,1.43,34,0.57,15,0.4,4.6,55.9,0,0,,,
G. Hamer,Sheffield United,"RCMF, LCMF, LW",27,2027-06-30,3240,"Brazil, Netherlands",right,169,5.83,6.08,47.03,0.89,25,0.18,0.25,2.81,2.96,1.67,0.11,0.09,1.28,28.26,8.696,0.86,38.71,1.69,42.62,4.08,31.29,1,1.19,0.61,16.75,0.47,26.5,74.11,10.17,61.48,22.58,79.58,3.08,44.14,17.71,0.2,1.47,0.58,0.5,4.19,51.66,2.17,55.13,0.92,30.3,1.03,5.5,70.2,0,0,,,
