Player,Team within selected timeframe,Position,Age,Contract expires,Minutes played,Passport country,Foot,Height,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Successful attacking actions per 90,Goals per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %",Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m",xA per 90,Shot assists per 90,Smart passes per 90,Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Progressive passes per 90,"Accurate progressive passes, %","Save rate, %",xG against per 90,Prevented goals,Prevented goals per 90,Exits per 90
W. Endo,Liverpool,DMF,31,2027-06-30,1950,Japan,right,178,10.94,9.55,56.04,3.09,55.22,0.76,0.09,5.12,8.45,0.88,0.05,0.05,0.46,30,10,0.28,50,0.92,65,4.38,53.68,0.23,0.46,0.14,42.74,1.06,57.51,90.61,16.62,76.94,54.46,92.37,2.77,60,16.63,0.06,0.42,0.23,0.14,8.35,82.32,1.34,58.62,0.37,25,0.6,7.11,75.32,0,0,,,
Mohamed Salah,Liverpool,"RWF, CF",32,2025-06-30,2868,Egypt,left,175,2.67,2.79,59.55,0.78,16,0,0.03,1,1.66,4.08,0.56,0.67,3.61,46.96,15.652,2.07,39.39,3.01,35.42,8.16,25.77,6.31,2.17,0.38,27.93,0.75,30.56,76.08,7.37,62.13,26.83,80.23,1.73,54.55,16.64,0.28,1.6,1.47,1.22,3.04,62.89,4.83,57.79,1.73,32.73,2.98,5.52,86.36,0,0,,,
V. van Dijk,Liverpool,LCB,33,2025-06-30,3603,"Netherlands, Suriname",right,193,6.59,3.25,72.31,4.9,75,0.04,0.65,4.22,7.15,0.47,0.05,0.08,0.85,35.29,5.882,0.05,50,0.12,100,0.77,45.16,1.15,1.12,0.12,49.08,0.27,64.45,94.5,23.83,89.2,58.98,96.95,5.42,68.2,20.5,0.02,0.15,0.02,0.05,8.09,83.95,0.37,60,0.27,45.45,0.22,8.67,85.88,0,0,,,
A. Robertson,Liverpool,LB,30,2026-06-30,1918,Scotland,left,178,6.76,5.3,61.95,1.31,50,0.29,0.23,3.28,5.08,2.11,0.14,0.11,0.52,54.55,27.273,4.65,27.27,0.99,52.38,2.21,38.3,2.35,2.44,1.45,48.43,0.23,59.26,84.01,20.36,78.8,50.11,92.51,4.6,46.94,19.63,0.3,2.25,0.23,0.8,8.54,74.18,4.46,36.84,0.75,18.75,0.84,9.99,78.4,0,0,,,
J. Gomez,Liverpool,"LB, RB",27,2027-06-30,2068,"England, Gambia",right,188,8.44,7.22,52.41,2.31,54.72,0.45,0.22,4.4,7.54,1.7,0,0.03,0.7,6.25,0,2.13,20.41,1.57,69.44,4.09,45.74,1.22,2.13,0.87,37.69,0.65,50.18,86.04,15.06,78.61,44.96,91.19,3.22,55.41,17.93,0.05,0.74,0.48,0.3,5.66,76.15,2.31,41.51,0.87,30,0.7,6.14,70.21,0,0,,,
K. Tsimikas,Liverpool,LB,28,2027-06-30,797,Greece,left,179,7.57,7.11,61.9,2.6,21.74,0.22,0.11,3.05,5.96,3.39,0,0,0.34,0,0,4.29,36.84,2.37,76.19,6.32,46.43,1.69,1.13,0.68,32.52,0.79,43.14,82.98,12.31,71.56,36.25,90.65,2.94,53.85,19.81,0.14,1.36,0.11,0.56,3.27,79.31,3.05,44.44,0.11,0,0.23,6.55,70.69,0,0,,,
Diogo Jota,Liverpool,"CF, LWF, RWF",27,2027-06-30,1273,Portugal,right,178,5.59,6.29,53.93,4.38,29.03,0.24,0.07,2.05,3.49,3.75,0.71,0.5,2.76,48.72,25.641,1.2,23.53,4.38,41.94,8.7,38.21,6.79,3.39,1.41,21.42,1.48,26.65,77.19,6.58,66.67,24.96,80.17,0.57,62.5,14.29,0.19,1.34,0.92,0.71,2.12,76.67,1.7,50,0.85,25,1.48,2.76,69.23,0,0,,,
C. Kelleher,Liverpool,GK,25,2026-06-30,1031,Republic of Ireland,right,188,1.13,0,0,0.35,100,0,0,1.13,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.49,0,32.39,89.49,16.76,80.73,23.31,100,8.9,63.73,27.51,0,0,0,0.09,1.92,54.55,0,0,0.17,100,0,6.72,75.32,71.79,1.06,1.15,0.1,0.7
T. Alexander-Arnold,Liverpool,RB,26,2025-06-30,2407,England,right,180,7.52,6.39,58.48,0.67,55.56,0.25,0.04,3.63,5.96,2.95,0.11,0.09,1.61,16.28,6.977,3.66,38.78,2.02,59.26,3.48,45.16,1.12,1.16,0.64,50.07,0.3,63.94,79.06,26.51,66.85,47.86,89.92,12.79,49.42,22.49,0.19,1.83,0.64,0.75,14.28,64.14,6.02,39.13,3.14,26.19,1.35,15.22,81.57,0,0,,,
I. Konaté,Liverpool,RCB,25,2026-06-30,1802,"France, Mali",right,194,8.64,6.04,70.25,6.09,67.21,1.02,0.6,3.85,7.11,0.5,0,0.06,0.45,22.22,0,0.15,0,0.5,60,1.7,58.82,0.85,1.45,0.25,51.14,0.7,66.78,92.07,28.27,86.57,62.03,94.44,4.59,63.04,18.67,0.01,0.15,0.2,0.15,10.54,84.83,1.05,42.86,1,55,0.5,10.64,84.51,0,0,,,
